IECPath,OpcuaNode
P31025$P31025Relay$Obj1CSWI1$Pos$stVal,var1
TG2MV_RTU$TG2MV_RTUTG2MV$AI16GGIO3$AnIn1$mag$i,var2
path_test_1,var3
path_test_2,var4
path_test_3,var5
path_test_4,var6
path_test_5,var7
path_test_6,var8
path_test_7,var9
path_test_8,var10
path_test_9,var11
path_test_10,var12
path_test_11,var13
path_test_12,var14
path_test_13,var15
path_test_14,var16
path_test_15,var17
path_test_16,var18
path_test_17,var19
path_test_18,var20
path_test_19,var21
path_test_20,var22
path_test_21,var23
path_test_22,var24
path_test_23,var25
path_test_24,var26
path_test_25,var27
path_test_26,var28
path_test_27,var29
path_test_28,var30
path_test_29,var31
path_test_30,var32
path_test_31,var33
path_test_32,var34
path_test_33,var35
path_test_34,var36
path_test_35,var37
path_test_36,var38
path_test_37,var39
path_test_38,var40
path_test_39,var41
path_test_40,var42
path_test_41,var43
path_test_42,var44
path_test_43,var45
path_test_44,var46
path_test_45,var47
path_test_46,var48
path_test_47,var49
path_test_48,var50
path_test_49,var51
path_test_50,var52
path_test_51,var53
path_test_52,var54
path_test_53,var55
path_test_54,var56
path_test_55,var57
path_test_56,var58
path_test_57,var59
path_test_58,var60
path_test_59,var61
path_test_60,var62
path_test_61,var63
path_test_62,var64
path_test_63,var65
path_test_64,var66
path_test_65,var67
path_test_66,var68
path_test_67,var69
path_test_68,var70
path_test_69,var71
path_test_70,var72
path_test_71,var73
path_test_72,var74
path_test_73,var75
path_test_74,var76
path_test_75,var77
path_test_76,var78
path_test_77,var79
path_test_78,var80
path_test_79,var81
path_test_80,var82
path_test_81,var83
path_test_82,var84
path_test_83,var85
path_test_84,var86
path_test_85,var87
path_test_86,var88
path_test_87,var89
path_test_88,var90
path_test_89,var91
path_test_90,var92
path_test_91,var93
path_test_92,var94
path_test_93,var95
path_test_94,var96
path_test_95,var97
path_test_96,var98
path_test_97,var99
path_test_98,var100
path_test_99,var101
path_test_100,var102
path_test_101,var103
path_test_102,var104
path_test_103,var105
path_test_104,var106
path_test_105,var107
path_test_106,var108
path_test_107,var109
path_test_108,var110
path_test_109,var111
path_test_110,var112
path_test_111,var113
path_test_112,var114
path_test_113,var115
path_test_114,var116
path_test_115,var117
path_test_116,var118
path_test_117,var119
path_test_118,var120
path_test_119,var121
path_test_120,var122
path_test_121,var123
path_test_122,var124
path_test_123,var125
path_test_124,var126
path_test_125,var127
path_test_126,var128
path_test_127,var129
path_test_128,var130
path_test_129,var131
path_test_130,var132
path_test_131,var133
path_test_132,var134
path_test_133,var135
path_test_134,var136
path_test_135,var137
path_test_136,var138
path_test_137,var139
path_test_138,var140
path_test_139,var141
path_test_140,var142
path_test_141,var143
path_test_142,var144
path_test_143,var145
path_test_144,var146
path_test_145,var147
path_test_146,var148
path_test_147,var149
path_test_148,var150
path_test_149,var151
path_test_150,var152
path_test_151,var153
path_test_152,var154
path_test_153,var155
path_test_154,var156
path_test_155,var157
path_test_156,var158
path_test_157,var159
path_test_158,var160
path_test_159,var161
path_test_160,var162
path_test_161,var163
path_test_162,var164
path_test_163,var165
path_test_164,var166
path_test_165,var167
path_test_166,var168
path_test_167,var169
path_test_168,var170
path_test_169,var171
path_test_170,var172
path_test_171,var173
path_test_172,var174
path_test_173,var175
path_test_174,var176
path_test_175,var177
path_test_176,var178
path_test_177,var179
path_test_178,var180
path_test_179,var181
path_test_180,var182
path_test_181,var183
path_test_182,var184
path_test_183,var185
path_test_184,var186
path_test_185,var187
path_test_186,var188
path_test_187,var189
path_test_188,var190
path_test_189,var191
path_test_190,var192
path_test_191,var193
path_test_192,var194
path_test_193,var195
path_test_194,var196
path_test_195,var197
path_test_196,var198
path_test_197,var199
path_test_198,var200
path_test_199,var201
path_test_200,var202
path_test_201,var203
path_test_202,var204
path_test_203,var205
path_test_204,var206
path_test_205,var207
path_test_206,var208
path_test_207,var209
path_test_208,var210
path_test_209,var211
path_test_210,var212
path_test_211,var213
path_test_212,var214
path_test_213,var215
path_test_214,var216
path_test_215,var217
path_test_216,var218
path_test_217,var219
path_test_218,var220
path_test_219,var221
path_test_220,var222
path_test_221,var223
path_test_222,var224
path_test_223,var225
path_test_224,var226
path_test_225,var227
path_test_226,var228
path_test_227,var229
path_test_228,var230
path_test_229,var231
path_test_230,var232
path_test_231,var233
path_test_232,var234
path_test_233,var235
path_test_234,var236
path_test_235,var237
path_test_236,var238
path_test_237,var239
path_test_238,var240
path_test_239,var241
path_test_240,var242
path_test_241,var243
path_test_242,var244
path_test_243,var245
path_test_244,var246
path_test_245,var247
path_test_246,var248
path_test_247,var249
path_test_248,var250
path_test_249,var251
path_test_250,var252
path_test_251,var253
path_test_252,var254
path_test_253,var255
path_test_254,var256
path_test_255,var257
path_test_256,var258
path_test_257,var259
path_test_258,var260
path_test_259,var261
path_test_260,var262
path_test_261,var263
path_test_262,var264
path_test_263,var265
path_test_264,var266
path_test_265,var267
path_test_266,var268
path_test_267,var269
path_test_268,var270
path_test_269,var271
path_test_270,var272
path_test_271,var273
path_test_272,var274
path_test_273,var275
path_test_274,var276
path_test_275,var277
path_test_276,var278
path_test_277,var279
path_test_278,var280
path_test_279,var281
path_test_280,var282
path_test_281,var283
path_test_282,var284
path_test_283,var285
path_test_284,var286
path_test_285,var287
path_test_286,var288
path_test_287,var289
path_test_288,var290
path_test_289,var291
path_test_290,var292
path_test_291,var293
path_test_292,var294
path_test_293,var295
path_test_294,var296
path_test_295,var297
path_test_296,var298
path_test_297,var299
path_test_298,var300
path_test_299,var301
path_test_300,var302
path_test_301,var303
path_test_302,var304
path_test_303,var305
path_test_304,var306
path_test_305,var307
path_test_306,var308
path_test_307,var309
path_test_308,var310
path_test_309,var311
path_test_310,var312
path_test_311,var313
path_test_312,var314
path_test_313,var315
path_test_314,var316
path_test_315,var317
path_test_316,var318
path_test_317,var319
path_test_318,var320
path_test_319,var321
path_test_320,var322
path_test_321,var323
path_test_322,var324
